RowID,StatementID,TrackId,ReleaseId,TotalNet,ErrorTypeId,Error Type Text,Description
0F1D091B-078D-446F-8BB5-462193B33FFB,367988,1981783.0,612433.0,0.093193,21,MISSING_DELIVERY_TERMS,
890A1BC5-6297-437B-94D6-72F1B143901F,367988,1981783.0,612433.0,0.070744,21,MISSING_DELIVERY_TERMS,
CE8C8116-9C91-42F2-BC8B-F3CDC73F949B,367988,1981783.0,612433.0,27.409547,21,MISSING_DELIVERY_TERMS,
A007A935-45C0-47B8-96E5-CB89C780587A,367988,1981783.0,612433.0,0.000828,21,MISSING_DELIVERY_TERMS,
3D4716FF-AEDE-48B5-9050-1224A0B03B0F,367988,1981783.0,612433.0,0.65483,21,MISSING_DELIVERY_TERMS,
8FC487C2-250E-4113-B697-569229A84A4D,367988,1981783.0,612433.0,0.029028,21,MISSING_DELIVERY_TERMS,
2093A308-F903-44BB-A4B3-E115CE578829,367988,1981783.0,612433.0,0.003009,21,MISSING_DELIVERY_TERMS,
25796979-C8E3-47B1-A175-7D7D7B44429B,367988,1981783.0,612433.0,0.002654,21,MISSING_DELIVERY_TERMS,
D7F3A675-34C6-490C-B7B7-2FBC3E70423E,367988,1981783.0,612433.0,0.045351,21,MISSING_DELIVERY_TERMS,
3F47A5B1-B069-4887-9631-445F169CFF99,367988,1981783.0,612433.0,30.725508,21,MISSING_DELIVERY_TERMS,
330540FF-E42C-461D-BECB-5CE098EAE6ED,367988,1981783.0,612433.0,0.000812,21,MISSING_DELIVERY_TERMS,
1872982D-D481-4FB2-BC50-BAB4D1A442C2,367988,1981783.0,612433.0,8.2e-05,21,MISSING_DELIVERY_TERMS,
F5E4D471-B9D0-4021-A7F4-0E2211C975F0,367988,1981783.0,612433.0,0.001727,21,MISSING_DELIVERY_TERMS,
C7D4F307-274E-433F-BD7B-678C16DEEF7B,367988,1981783.0,612433.0,0.035046,21,MISSING_DELIVERY_TERMS,
E1792645-6860-49C7-B5C6-AC787A4D7BDB,367988,1981783.0,612433.0,0.008847,21,MISSING_DELIVERY_TERMS,
58DA40A5-15C9-46E3-B7AC-B3B7280F003A,367988,1981783.0,612433.0,0.023706,21,MISSING_DELIVERY_TERMS,
59590EBD-01E0-4259-8181-0454FAB7BA21,367988,1981783.0,612433.0,0.886261,21,MISSING_DELIVERY_TERMS,
6352BC22-764C-4DF8-8B5E-7C687C041BE8,367988,1981783.0,612433.0,0.002001,21,MISSING_DELIVERY_TERMS,
FDB4E52B-9B9A-429E-9C38-DC1E63C80D4B,367988,1981783.0,612433.0,0.024538,21,MISSING_DELIVERY_TERMS,
DCDD7E11-4ADD-48D5-B93B-2AF3335B22F3,367988,1981783.0,612433.0,0.005986,21,MISSING_DELIVERY_TERMS,
151E2E3D-45D9-4C44-B228-0E570D2D06AF,367988,1981783.0,612433.0,0.010735,21,MISSING_DELIVERY_TERMS,
7FCFB8C2-A2EC-446E-A003-D3F7B9B99E05,367988,1981783.0,612433.0,0.014462,21,MISSING_DELIVERY_TERMS,
6E4C47A2-1DC6-43BD-BFAD-57362358BF6C,367988,1981783.0,612433.0,0.031831,21,MISSING_DELIVERY_TERMS,
321572B4-5B1A-47F1-A8B5-D5EEA724678E,367988,1981783.0,612433.0,0.018494,21,MISSING_DELIVERY_TERMS,
7349F17A-D525-4BAB-834C-4243FC8A00E6,367988,1981783.0,612433.0,0.035661,21,MISSING_DELIVERY_TERMS,
752C617B-D375-48B3-890E-680B9E13D2B4,367988,1981783.0,612433.0,4.2e-05,21,MISSING_DELIVERY_TERMS,
65FD0C49-40F9-4BD1-9082-F4A1CEC7A67C,367988,1981783.0,612433.0,0.257678,21,MISSING_DELIVERY_TERMS,
528D9062-AD33-4D87-9188-A27B8CBE1AF9,367988,1981783.0,612433.0,0.000822,21,MISSING_DELIVERY_TERMS,
CD62F584-F35C-4196-BC1E-1CE9045A1820,367988,1981783.0,612433.0,0.02149,21,MISSING_DELIVERY_TERMS,
2464B803-7AC4-47D1-A799-74E5BC366784,367988,1981783.0,612433.0,0.00649,21,MISSING_DELIVERY_TERMS,
